n,Ko,E,T,K
6,45859518010447800,244,953,1982.88439936341
6,52242478489198000,245,953,1982.88439936341
6,59513851804384600,246,953,1982.88439936341
6,67797291763763300,247,953,1982.88439936341
6,77233662939661700,248,953,1982.88439936341
6,87983436150550000,249,953,1982.88439936341
6,100229417357889000,250,953,1982.88439936341
5,2602321708779470,240,953,189.498615456418
5,2964526052408820,241,953,189.498615456418
5,3377143834969020,242,953,189.498615456418
5,3847191854766140,243,953,189.498615456418
5,4382663543708590,244,953,189.498615456418
5,4992664900128820,245,953,189.498615456418
5,5687569341425030,246,953,189.498615456418
5,6479194109879810,247,953,189.498615456418
5,7381001231535350,248,953,189.498615456418
5,8408326445545710,249,953,189.498615456418
5,9578639997077570,250,953,189.498615456418
7,4.65E+16,240,953,3.39E+03
7,5.30E+16,241,953,3.39E+03
7,6.04E+16,242,953,3.39E+03
7,6.88E+16,243,953,3.39E+03
7,7.84E+16,244,953,3.39E+03
7,8.93E+16,245,953,3.39E+03
7,1.02E+17,246,953,3.39E+03
7,1.16E+17,247,953,3.39E+03
7,1.32E+17,248,953,3.39E+03
7,1.50E+17,249,953,3.39E+03
7,1.71E+17,250,953,3.39E+03
7,5.31E+16,240,953,3.87E+03
6,19395336324127000,240,953,1412.35012079174
5,2377600629601980,240,953,173.134638157093
4,1523572890642.43,240,953,0.110945142696865
3,1690280103365.52,240,953,0.105314110437751
7,6.05E+16,241,953,3.87E+03
6,22094877675624900,241,953,1412.35012079174
5,2708527152849410,241,953,173.134638157093
4,1735631498525.1,241,953,0.110945142696865
3,1925541867244.98,241,953,0.105314110437751
7,6.90E+16,242,953,3.87E+03
6,25170154894068500,242,953,1412.35012079174
5,3085513709234950,242,953,173.134638157093
4,1977205499765.92,242,953,0.110945142696865
3,2193548557502.9,242,953,0.105314110437751
7,7.86E+16,243,953,3.87E+03
6,28673464804483400,243,953,1412.35012079174
5,3514971167950530,243,953,173.134638157093
4,2252402996619.2,243,953,0.110945142696865
3,2498857779190.97,243,953,0.105314110437751
7,8.95E+16,244,953,3.87E+03
6,32664383169437700,244,953,1412.35012079174
5,4004202695500870,244,953,173.134638157093
4,2565903877861.85,244,953,0.110945142696865
3,2846661487964.34,244,953,0.105314110437751
7,1.02E+17,245,953,3.87E+03
6,37210777808512900,245,953,1412.35012079174
5,4561527950172410,245,953,173.134638157093
4,2923039402943.74,245,953,0.110945142696865
3,3242874282218.24,245,953,0.105314110437751
7,1.16E+17,246,953,3.87E+03
6,42389962728885700,246,953,1412.35012079174
5,5196424562518620,246,953,173.134638157093
4,3329882863064.01,246,953,0.110945142696865
3,3694233984172.32,246,953,0.105314110437751
7,1.32E+17,247,953,3.87E+03
6,48290012893663700,247,953,1412.35012079174
5,5919689307817680,247,953,173.134638157093
4,3793352860916.22,247,953,0.110945142696865
3,4208416220340.96,247,953,0.105314110437751
7,1.51E+17,248,953,3.87E+03
6,55011261986346300,248,953,1412.35012079174
5,6743621711330310,248,953,173.134638157093
4,4321330965432.4,248,953,0.110945142696865
3,4794164949894.71,248,953,0.105314110437751
7,1.72E+17,249,953,3.87E+03
6,62668008641751900,249,953,1412.35012079174
5,7682233208669970,249,953,173.134638157093
4,4922795742311.86,249,953,0.110945142696865
3,5461441160621.88,249,953,0.105314110437751
7,1.96E+17,250,953,3.87E+03
6,71390460158820500,250,953,1412.35012079174
5,8751485418174440,250,953,173.134638157093
4,5607975439599.05,250,953,0.110945142696865
3,6221592261148.63,250,953,0.105314110437751
7,6.00E+16,240,953,4.37E+03
6,7.27E+16,240,953,5.29E+03
5,9538994400434200,240,953,694.620586544089
4,1523572890642.43,240,953,0.110945142696865
3,1690280103365.52,240,953,0.105314110437751
7,6.83E+16,241,953,4.37E+03
6,8.28E+16,241,953,5.29E+03
5,10866680056683700,241,953,694.620586544089
4,1735631498525.1,241,953,0.110945142696865
3,1925541867244.98,241,953,0.105314110437751
7,7.78E+16,242,953,4.37E+03
6,9.43E+16,242,953,5.29E+03
5,12379159741298700,242,953,694.620586544089
4,1977205499765.92,242,953,0.110945142696865
3,2193548557502.9,242,953,0.105314110437751
7,8.86E+16,243,953,4.37E+03
6,1.07E+17,243,953,5.29E+03
5,14102154025077300,243,953,694.620586544089
4,2252402996619.2,243,953,0.110945142696865
3,2498857779190.97,243,953,0.105314110437751
7,1.01E+17,244,953,4.37E+03
6,1.22E+17,244,953,5.29E+03
5,16064963398407500,244,953,694.620586544089
4,2565903877861.85,244,953,0.110945142696865
3,2846661487964.34,244,953,0.105314110437751
7,1.15E+17,245,953,4.37E+03
6,1.39E+17,245,953,5.29E+03
5,18300966542645600,245,953,694.620586544089
4,2923039402943.74,245,953,0.110945142696865
3,3242874282218.24,245,953,0.105314110437751
7,1.31E+17,246,953,4.37E+03
6,1.59E+17,246,953,5.29E+03
5,20848187953433500,246,953,694.620586544089
4,3329882863064.01,246,953,0.110945142696865
3,3694233984172.32,246,953,0.105314110437751
7,1.49E+17,247,953,4.37E+03
6,1.81E+17,247,953,5.29E+03
5,23749944568712600,247,953,694.620586544089
4,3793352860916.22,247,953,0.110945142696865
3,4208416220340.96,247,953,0.105314110437751
7,1.70E+17,248,953,4.37E+03
6,2.06E+17,248,953,5.29E+03
5,27055582397702800,248,953,694.620586544089
4,4321330965432.4,248,953,0.110945142696865
3,4794164949894.71,248,953,0.105314110437751
7,1.94E+17,249,953,4.37E+03
6,2.35E+17,249,953,5.29E+03
5,30821315677646100,249,953,694.620586544089
4,4922795742311.86,249,953,0.110945142696865
3,5461441160621.88,249,953,0.105314110437751
7,2.21E+17,250,953,4.37E+03
6,2.67E+17,250,953,5.29E+03
5,35111182828641300,250,953,694.620586544089
4,5607975439599.05,250,953,0.110945142696865
3,6221592261148.63,250,953,0.105314110437751
7,5.25E+16,240,953,3.82E+03
6,21024901727275000,240,953,1531.01353840472
5,2584411624298220,240,953,188.194419975723
